mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm
cbuckle.mat,341,1e-06,34100,12409,340,340,7.558388569753314e-07,True,0.228264458,528.571697147083
cbuckle.mat,341,1e-06,34100,6572,1,341,9.673890513145182e-07,True,0.231028125,16.781768919478484
cbuckle.mat,341,1e-06,34100,6572,85,342,9.59204677917286e-07,True,0.232898417,16.781768919478484
cbuckle.mat,341,1e-06,34100,6572,170,342,9.679393838023065e-07,True,0.235521417,16.781768919478484
cbuckle.mat,341,1e-06,34100,6572,255,341,9.941449485191657e-07,True,0.230804458,16.781768919478484
cbuckle.mat,341,1e-06,34100,6572,340,341,9.24749518645651e-07,True,0.230623875,16.781768919478484
cbuckle.mat,341,1e-06,34100,10359,1,341,9.64197941645791e-07,True,0.22982,4.50277428030672
cbuckle.mat,341,1e-06,34100,10359,85,342,9.308221206406422e-07,True,0.230295083,4.50277428030672
cbuckle.mat,341,1e-06,34100,10359,170,342,9.250684135643088e-07,True,0.230322875,4.50277428030672
cbuckle.mat,341,1e-06,34100,10359,255,341,9.583003467106632e-07,True,0.236599333,4.50277428030672
cbuckle.mat,341,1e-06,34100,10359,340,341,9.518751365739807e-07,True,0.229739542,4.50277428030672
cbuckle.mat,341,1e-06,34100,10789,1,340,9.874591101105011e-07,True,0.228475375,528.5716971470627
cbuckle.mat,341,1e-06,34100,10789,85,369,9.68568227407304e-07,True,0.247624708,528.5716971470627
cbuckle.mat,341,1e-06,34100,10789,170,435,9.674228116798137e-07,True,0.291364709,528.5716971470627
cbuckle.mat,341,1e-06,34100,10789,255,412,9.808036406318534e-07,True,0.277864292,528.5716971470627
cbuckle.mat,341,1e-06,34100,10789,340,340,7.629145869547787e-07,True,0.229826625,528.5716971470627
cbuckle.mat,341,1e-06,34100,1640,1,467,9.638887759222046e-07,True,0.314769542,69.29642112003015
cbuckle.mat,341,1e-06,34100,1640,85,338,9.841701830809274e-07,True,0.229232333,69.29642112003015
cbuckle.mat,341,1e-06,34100,1640,170,371,9.66966479567712e-07,True,0.252529666,69.29642112003015
cbuckle.mat,341,1e-06,34100,1640,255,363,9.668033930755178e-07,True,0.244573625,69.29642112003015
cbuckle.mat,341,1e-06,34100,1640,340,340,7.896501703196459e-07,True,0.229686625,69.29642112003015
cbuckle.mat,341,1e-06,34100,11771,1,1089,9.67953114165175e-07,True,0.731826666,26052.04495043862
cbuckle.mat,341,1e-06,34100,11771,85,5479,9.939514494978405e-07,True,3.640246583,26052.04495043862
cbuckle.mat,341,1e-06,34100,11771,170,8850,9.995314690316592e-07,True,5.864532667,26052.04495043862
cbuckle.mat,341,1e-06,34100,11771,255,7866,9.989718367691593e-07,True,5.214560042,26052.04495043862
cbuckle.mat,341,1e-06,34100,11771,340,2782,9.993924834398823e-07,True,1.866827084,26052.04495043862
cbuckle.mat,341,1e-06,34100,10853,1,470,9.576562055914e-07,True,0.31420825,10726.741225855076
cbuckle.mat,341,1e-06,34100,10853,85,1375,9.938454290488406e-07,True,0.911486042,10726.741225855076
cbuckle.mat,341,1e-06,34100,10853,170,2751,9.889578085919685e-07,True,1.809487334,10726.741225855076
cbuckle.mat,341,1e-06,34100,10853,255,2250,9.945172194010816e-07,True,1.5101485,10726.741225855076
cbuckle.mat,341,1e-06,34100,10853,340,825,9.89280998337669e-07,True,0.557467541,10726.741225855076
cbuckle.mat,341,1e-06,34100,11701,1,344,9.457929116951326e-07,True,0.235453792,528.5716971470738
cbuckle.mat,341,1e-06,34100,11701,85,370,9.831665586575428e-07,True,0.252211167,528.5716971470738
cbuckle.mat,341,1e-06,34100,11701,170,435,9.8810888204749e-07,True,0.292397208,528.5716971470738
cbuckle.mat,341,1e-06,34100,11701,255,412,9.946376346602085e-07,True,0.275489708,528.5716971470738
cbuckle.mat,341,1e-06,34100,11701,340,340,7.696092810158281e-07,True,0.230573834,528.5716971470738
cbuckle.mat,341,1e-06,34100,9205,1,351,9.81964947754121e-07,True,0.236467291,528.5716971470608
cbuckle.mat,341,1e-06,34100,9205,85,369,9.802806712689559e-07,True,0.248418833,528.5716971470608
cbuckle.mat,341,1e-06,34100,9205,170,436,9.939655441023687e-07,True,0.291721417,528.5716971470608
cbuckle.mat,341,1e-06,34100,9205,255,412,9.836795073602834e-07,True,0.279030208,528.5716971470608
cbuckle.mat,341,1e-06,34100,9205,340,340,7.529382803899265e-07,True,0.230050166,528.5716971470608
cbuckle.mat,341,1e-06,34100,3328,1,342,8.964021247028685e-07,True,0.230663084,376.91874577136343
cbuckle.mat,341,1e-06,34100,3328,85,502,9.488573784413518e-07,True,0.33670075,376.91874577136343
cbuckle.mat,341,1e-06,34100,3328,170,760,9.847847347348512e-07,True,0.5180245,376.91874577136343
cbuckle.mat,341,1e-06,34100,3328,255,657,9.91240384770486e-07,True,0.438821084,376.91874577136343
cbuckle.mat,341,1e-06,34100,3328,340,340,8.892262170165938e-07,True,0.229384167,376.91874577136343
cbuckle.mat,341,1e-06,34100,5659,1,343,9.829163419289186e-07,True,0.230503791,528.5716971470679
cbuckle.mat,341,1e-06,34100,5659,85,369,9.948061988802595e-07,True,0.257789708,528.5716971470679
cbuckle.mat,341,1e-06,34100,5659,170,435,9.768751584026846e-07,True,0.294305709,528.5716971470679
cbuckle.mat,341,1e-06,34100,5659,255,416,9.456897390231143e-07,True,0.281116041,528.5716971470679
cbuckle.mat,341,1e-06,34100,5659,340,340,7.586106718384701e-07,True,0.2310335,528.5716971470679
